"ConState","Year","AllLabourInsR","InsEmpR","InsUnempR","AllLabourOutR","AllLabourInsU","InsEmpU","InsUnempU","AllLabourOutU"
"Johor",2007,366.3,358.9,7.4,225.2,947.3,927.8,19.5,520.5
"Kedah",2007,398.2,383.9,14.4,263.3,294.8,286.5,8.3,218.3
"Kelantan",2007,315,306.5,8.5,263.6,171.2,166.5,4.6,146.7
"Melaka",2007,67.4,65.9,1.5,39.3,223,218.4,4.6,130.4
"N. Sembilan",2007,155.2,149.6,5.6,99.3,240.6,232,8.6,136.5
"P. Pinang",2007,117,114.7,2.4,69.8,550.5,538.8,11.7,278.8
"Pahang",2007,296.9,285.3,11.5,202.8,283.3,276.6,6.7,174
"Perak",2007,305.3,296.4,8.9,210.5,572.5,555.8,16.7,368.5
"Perlis",2007,51.6,49.9,1.7,36.9,30.9,30.1,0.8,22.5
"Sabah",2007,619.7,590.2,29.4,288.6,648.1,608.3,39.7,385.7
"Sarawak",2007,500.3,481,19.3,208.3,497.2,473.1,24.1,286
"Selangor",2007,180.3,173,7.3,117.6,1947.7,1891.3,56.4,998.4
"Terengganu",2007,177.1,172.4,4.6,134.3,195.7,190.6,5.1,139.8
"W.P Labuan",2007,8.9,8.4,0.5,5.6,25.3,24.2,1.1,14
"Johor",2008,350.5,343.2,7.2,222.2,962.6,940.6,22.1,568.1
"Kedah",2008,396.7,380.5,16.2,276.3,306.3,295.5,10.7,221.3
"Kelantan",2008,318.4,309.3,9.2,267.1,182.5,177.2,5.3,151.5
"Melaka",2008,59.5,58.9,0.7,38.2,230.4,227.9,2.6,141.1
"N. Sembilan",2008,156.8,152,4.8,99.1,242.5,235.1,7.5,145.3
"P. Pinang",2008,117.4,114.9,2.5,68.7,571,560,10.9,274.5
