"ConState","Year","TotInsLabour","InsLabEmp","InsLabUnemp","TotOutLabour","TotInsLabourM","InsLabEmpM","InsLabUnempM","TotOutLabourM","TotInsLabourF","InsLabEmpF","InsLabUnempF","TotOutLabourF","AllTotalWorkForce","SubTotWorkForce","BumiWorkForce","ChineseWorkForce","IndianWorkForce","OtherWorkForce","SubTotForeignWorkForce"
"Perak",1990,706.8,678.2,28.6,403.7,441.5,424.3,17.2,89.7,265.3,253.9,11.4,314,706.8,694.5,298.8,292.8,102.6,0.3,12.3
"Perlis",1990,59.7,57.1,2.5,42.2,42.4,40.6,1.8,8.9,17.3,16.5,0.8,33.3,59.7,58.8,50.5,7,1.1,0.3,0.9
"Sabah",1990,479.9,436.9,43,270.7,345.3,315.6,29.7,49.9,134.6,121.2,13.4,220.8,479.9,374.4,242.8,80.9,1.6,49,105.5
"Sarawak",1990,775.4,698.9,76.5,227.1,453.9,417.7,36.2,46.9,321.5,281.2,40.3,180.2,775.4,768.4,541.9,213.5,7.1,5.8,7
"Selangor",1990,1060,1039.4,20.6,514.9,688.8,674.7,14.1,123.3,371.2,364.7,6.5,391.6,1060,1032.6,482.3,379.9,168.6,1.8,27.4
"Terengganu",1990,244.6,227.6,16.9,117.5,157.3,148.5,8.8,26.5,87.2,79.1,8.1,91,244.6,237.6,224.5,11.4,1.1,0.7,6.9
"W.P Kuala Lumpur",1990,503.9,490.7,13.2,247.2,322.4,314.4,8,62.3,181.5,176.3,5.2,184.9,503.9,492.5,155.7,274.4,61.9,0.4,11.4
"W.P Labuan",1990,15.7,14.8,0.9,9.3,12.6,11.9,0.7,0.4,3.1,2.9,0.2,8.9,15.7,12.3,7.5,3.7,0.9,0.2,3.4
"Johor",1992,947.1,926,21.1,454,617.8,604.6,13.2,98.1,329.3,321.4,7.9,356,947.1,897.9,382.6,381,69.7,64.7,49.1
"Kedah",1992,514,495,19,305.6,333.4,322,11.4,66.5,180.6,173.1,7.6,239.1,514,507.5,351.9,104.9,44.5,6.2,6.5
"Kelantan",1992,404.1,382.5,21.6,228.2,242.1,228.3,13.8,58.3,162,154.2,7.8,169.9,404.1,393.6,359.1,29.3,1.4,3.8,10.5
"Malaysia",1992,7319,7047.8,271.2,3783.6,4716.5,4554.2,162.3,841.4,2602.5,2493.6,108.9,2942.2,7319,6963.6,3881.6,2305.3,616.6,160.2,355.4
"Melaka",1992,214.4,207.4,7.1,116,132.082,128.208,3.874,26.674,82.347,79.156,3.191,89.295,214.4,208,105.2,79,20.1,3.6,6.4
"N. Sembilan",1992,259.8,251.4,8.5,146.1,160.8,155.5,5.3,33.5,99,95.9,3.2,112.6,259.8,253.8,129.1,77.4,45.2,2.2,6
"P. Pinang",1992,521.4,512.6,8.8,293.6,330.283,324.069,6.214,70.705,191.2,188.6,2.6,222.8,521.4,515.6,188.5,266.2,60,0.9,5.9
"Pahang",1992,428.9,417,11.9,235.5,297,289.7,7.3,42,131.9,127.3,4.6,193.5,428.9,415.1,277.8,109.4,27.3,0.7,13.8
"Perak",1992,719.7,692.9,26.8,439.5,450.2,432.3,18,102.9,269.4,260.6,8.8,336.7,719.7,706.5,319.3,280,105.8,1.4,13.1
"Perlis",1992,68.8,66.9,1.9,43.5,47.8,46.6,1.2,7.1,21,20.3,0.7,36.4,68.8,67.8,54.8,10.6,0.5,1.8,1
"Sabah",1992,524.3,491.5,32.7,281,373.5,351.7,21.9,48.6,150.7,139.8,10.9,232.4,524.3,381.9,232,83.7,2.9,63.3,142.3
"Sarawak",1992,771.1,711.3,59.8,290.5,476.6,449.5,27.1,54.1,294.6,261.8,32.7,236.4,771.1,749.4,528.2,214.7,3.7,2.8,21.7
"Selangor",1992,1092.8,1069.6,23.2,524.3,707,692.7,14.2,131.1,385.8,376.9,9,393.2,1092.8,1048.3,496.1,370.5,175.2,6.5,44.5
"Terengganu",1992,267.7,252.9,14.8,143.3,174.9,164.8,10.1,32.3,92.9,88.1,4.7,110.9,267.7,261.6,245.4,14.9,1.2,0.2,6.1
"W.P Kuala Lumpur",1992,569.6,555.8,13.7,273.3,361.6,353,8.6,68.4,207.9,202.8,5.1,204.8,569.6,545.7,205.4,280.7,58.9,0.6,23.9
