"ConState","Year","AllTotalEdu","NonEduc","Primary","Secondary","Tertiary","AllTotalCert","UPSRAEquiv","PMRSRPLCEEquiv","SPMEquiv","STPMEquiv","Certificate","Diploma","Degree","ReligCert","NoCert","NoRelevant"
"Kelantan",1996,460.8,76.9,127.1,200.1,56.6,460.8,0,53.7,101.2,14.7,0,21.8,11.1,0,181.3,76.9
"Melaka",1996,240.6,8.3,65.1,144.4,23,240.7,0,31.5,71,5.2,0,9.6,6.3,0,108.8,8.3
"N. Sembilan",1996,327.5,12.4,103.5,180.6,31,327.5,0,28.2,75.3,9.2,0,12.9,7.9,0,181.5,12.4
"P. Pinang",1996,452.4,10.7,75.1,311.2,55.4,452.4,0,80.6,162.2,17.6,0,18.6,16.1,0,146.4,10.7
"Pahang",1996,417,33.5,138.1,205.5,39.8,417,0,67.3,102.5,10.9,0,15.8,8.3,0,178.6,33.5
"Perak",1996,746.9,46.6,250.8,396,53.5,746.9,0,69.2,158.7,14.9,0,22.5,14.5,0,420.4,46.6
"Perlis",1996,71.5,5.1,22.8,36.1,7.6,71.5,0,9,17.3,1.7,0,3,2,0,33.3,5.1
"Sabah",1996,1032.3,150.8,388.7,433.3,59.4,1032.3,0,130,142.6,15.2,0,16.1,14.8,0,562.3,150.8
"Sarawak",1996,869.5,133.6,270.4,388.9,76.5,869.5,0,98.5,138.3,18,0,32.4,20.6,0,428.2,133.6
"Selangor",1996,1371.1,48.1,261.6,780.5,280.9,1371.1,0,181.8,412.6,57.5,0,103.8,105,0,461.9,48.1
"Terengganu",1996,308.1,33.8,97.7,144.4,32.2,308.1,0,26.9,78.6,9.4,0,13.6,7.6,0,138.3,33.8
"W.P Kuala Lumpur",1996,710.8,23.7,113.1,405.7,168.2,710.8,0,103.4,232.1,39.4,0,55.3,68.1,0,188.7,23.7
"W.P Labuan",1996,39.4,1.9,14.1,20,3.4,39.4,0,6.6,7.6,0.8,0,0.8,1.2,0,20.4,1.9
"Johor",1997,1076.9,42.2,324.6,607.2,103,1076.9,0,148.9,301.4,29.1,0,40.9,26.3,0,488.1,42.2
"Kedah",1997,616.6,54.9,207.1,300.6,54,616.6,0,80.8,148.8,20.5,0,19.4,11.4,0,280.9,54.9
"Kelantan",1997,429.3,66.3,116.3,192.7,54.1,429.3,0,51.8,98,18.9,0,15.6,10,0,168.8,66.3
"Melaka",1997,261.5,11.2,66.5,151.3,32.5,261.5,0,37.1,80.8,7.5,0,13.9,8.6,0,102.4,11.2
"N. Sembilan",1997,315.7,12.2,92.9,177,33.7,315.7,0,30.6,77.5,9.9,0,14.6,9.1,0,161.9,12.2
"P. Pinang",1997,558,15.4,111.4,356,75.1,558,0,89.4,185.3,21.9,0,30.2,23.1,0,192.5,15.4
"Pahang",1997,407.6,27.5,143.3,195.8,41.1,407.6,0,63.3,101.8,10.6,0,16,10.5,0,178,27.5
"Perak",1997,760.6,41.9,224.8,423.8,70.1,760.6,0,109.8,200.3,16.7,0,32.9,17.7,0,341.4,41.9
